,original,first_digit,second_digit
2123,"28,077.03",2,8
2126,"2,080.14",2,0
16,5.77,5,NaN
26,50.87,5,0
41,55.46,5,5
53,"5,252.44",5,2
56,59.05,5,9
58,520.00,5,2
74,"5,478.40",5,4
80,552.00,5,5
95,550.00,5,5
105,598.21,5,9
109,500.00,5,0
116,"56,804.23",5,6
118,"57,859.47",5,7
147,51.50,5,1
169,553.04,5,5
182,59.95,5,9
185,507.49,5,0
191,"55,121.26",5,5
194,"5,829.45",5,8
198,585.00,5,8
218,56.32,5,6
223,"5,544.56",5,5
247,"5,031.92",5,0
286,523.37,5,2
289,512.86,5,1
294,576.33,5,7
300,515.66,5,1
340,"5,847.32",5,8
349,"5,798.30",5,7
366,"5,525.00",5,5
377,52.65,5,2
385,"5,309.62",5,3
386,58.31,5,8
406,"5,199.85",5,1
426,"57,568.39",5,7
428,"56,189.42",5,6
456,"-5,544.56",5,5
476,"5,173.81",5,1
479,596.28,5,9
486,"5,560.00",5,5
528,589.00,5,8
704,553.60,5,5
804,"53,262.39",5,3
821,"5,776.40",5,7
826,550.03,5,5
855,"5,632.99",5,6
866,51.47,5,1
869,"5,499.59",5,4
870,530.74,5,3
872,"5,645.23",5,6
879,"5,670.00",5,6
967,"57,697.95",5,7
982,540.00,5,4
994,"59,064.08",5,9
1002,"5,604.24",5,6
1003,"5,256.65",5,2
1030,"5,376.00",5,3
1039,"53,008.50",5,3
1063,"50,085.94",5,0
1079,"5,050.61",5,0
1100,"5,323.10",5,3
1107,"5,468.00",5,4
1108,"5,258.40",5,2
1110,560.56,5,6
1138,"5,213.70",5,2
1140,"5,049.57",5,0
1155,"5,512.35",5,5
1162,56.15,5,6
1168,"5,791.15",5,7
1174,"5,503.95",5,5
1200,"5,313.90",5,3
1213,"5,751.72",5,7
1244,56.00,5,6
1249,540.71,5,4
1250,567.84,5,6
1254,"5,061.50",5,0
1293,"5,102.71",5,1
1306,"5,130.55",5,1
1319,50.38,5,0
1334,"58,892.29",5,8
1362,"51,750.00",5,1
1371,"5,108.14",5,1
1373,55.64,5,5
1376,"56,510.04",5,6
1378,"5,527.32",5,5
1405,587.89,5,8
1413,52.97,5,2
1432,"5,073.44",5,0
1450,"5,556.00",5,5
1496,"51,048.15",5,1
1536,"5,267.25",5,2
1552,"5,783.00",5,7
1558,"54,807.35",5,4
1564,580.00,5,8
1575,"5,111.25",5,1
1609,"55,185.77",5,5
1614,50.00,5,0
1645,"5,474.77",5,4
1654,"5,599.13",5,5
1684,"55,933.82",5,5
1686,"5,812.38",5,8
1691,"5,712.06",5,7
1693,"50,793.72",5,0
1717,"5,318.00",5,3
1719,"55,765.20",5,5
1722,591.51,5,9
1744,532.36,5,3
1759,"5,000.00",5,0
1785,"5,326.90",5,3
1810,542.30,5,4
1811,500.87,5,0
1834,"5,986.27",5,9
1835,"51,105.03",5,1
1870,52.83,5,2
1881,"5,499.44",5,4
1882,"57,720.04",5,7
1908,"5,043.57",5,0
1925,"5,762.05",5,7
1953,547.61,5,4
1960,"54,092.90",5,4
1997,519.49,5,1
2018,537.03,5,3
2029,"5,003.18",5,0
2045,532.12,5,3
2059,"5,294.15",5,2
2076,581.87,5,8
2079,562.30,5,6
2081,"52,863.00",5,2
8,75.82,7,5
10,152.69,1,5
20,151.69,1,5
44,350.00,3,5
52,"15,481.23",1,5
67,450.00,4,5
87,"1,500.00",1,5
96,"45,219.23",4,5
113,"7,539.48",7,5
122,"7,586.43",7,5
126,755.13,7,5
128,75.76,7,5
144,750.00,7,5
150,150.08,1,5
188,"1,575.55",1,5
193,"7,503.93",7,5
250,"1,560.12",1,5
251,"8,510.98",8,5
284,"1,505.86",1,5
303,85.76,8,5
304,"8,530.11",8,5
308,"9,543.28",9,5
312,"15,396.05",1,5
327,75.00,7,5
363,"6,599.00",6,5
364,"1,547.54",1,5
375,"1,586.00",1,5
398,753.75,7,5
409,"1,544.39",1,5
419,35.00,3,5
420,"8,579.70",8,5
427,"15,550.72",1,5
450,754.34,7,5
462,"9,505.50",9,5
463,451.74,4,5
491,35.26,3,5
548,"7,520.78",7,5
590,"8,595.48",8,5
622,"15,048.08",1,5
629,"45,520.84",4,5
630,"4,521.40",4,5
662,"8,576.19",8,5
691,"1,582.81",1,5
719,"15,366.69",1,5
725,"7,591.81",7,5
746,"1,598.88",1,5
764,"15,560.82",1,5
775,"6,522.19",6,5
810,"6,500.37",6,5
817,"1,582.18",1,5
818,"8,505.05",8,5
874,95.79,9,5
876,15.78,1,5
877,"8,556.99",8,5
880,"75,399.96",7,5
882,"15,731.50",1,5
884,"35,305.63",3,5
899,65.00,6,5
900,150.00,1,5
913,85.71,8,5
944,"8,599.71",8,5
946,359.30,3,5
959,159.75,1,5
995,"35,601.24",3,5
1006,"8,583.77",8,5
1061,"15,007.58",1,5
1062,"15,055.27",1,5
1089,75.12,7,5
1096,956.91,9,5
1098,"9,542.10",9,5
1135,"35,866.26",3,5
1145,"35,841.93",3,5
1151,15.00,1,5
1166,"35,116.53",3,5
1220,"15,149.36",1,5
1235,752.35,7,5
1243,"45,946.80",4,5
1251,"1,559.96",1,5
1265,"4,546.55",4,5
1269,"7,500.00",7,5
1285,950.31,9,5
1303,"15,180.85",1,5
1336,"15,112.58",1,5
1345,"35,558.27",3,5
1368,359.81,3,5
1404,"1,543.00",1,5
1437,351.11,3,5
1467,"35,605.79",3,5
1530,"15,466.26",1,5
1546,157.00,1,5
1548,"3,518.95",3,5
1605,"15,866.83",1,5
1648,"15,021.60",1,5
1658,85.00,8,5
1716,"1,549.81",1,5
1723,"15,794.40",1,5
1726,158.68,1,5
1730,"9,569.99",9,5
1761,"3,552.55",3,5
1770,456.88,4,5
1779,"15,413.88",1,5
1836,"9,567.58",9,5
1845,153.19,1,5
1849,-150.00,1,5
